09025,10,"ΔΡΑΜΑΣ ΚΕΦΑΛΑΡΙΟΥ"
45130,430,"ΤΡΙΚΑΛΩΝ ΤΡΙΚΚΑΙΩΝ"
21005,15,"ΚΑΒΑΛΑΣ ΑΚΡΟΠΟΤΑΜΟΥ"
39030,21,"ΠΙΕΡΙΑΣ ΜΑΚΡΥΓΙΑΛΟΥ"
31013,49,"ΛΑΡΙΣΑΣ ΑΜΠΕΛΩΝΟΣ"
47022,6,"ΦΛΩΡΙΝΑΣ ΒΑΛΤΟΝΕΡΩΝ"
06167,1332,"ΑΧΑΙΑΣ ΠΑΤΡΕΩΝ"
25071,23,"ΚΕΦΑΛΛΗΝΙΑΣ ΦΑΡΑΚΛΑΤΩΝ"
05103,37,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΠΕΡΑΜΟΥ"
23040,15,"ΚΑΣΤΟΡΙΑΣ ΜΑΥΡΟΧΩΡΙΟΥ"
19125,124,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΩΡΑΙΟΚΑΣΤΡΟΥ"
01021,36,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΙΤΩΛΙΚΟΥ"
05104,870,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΣΜΥΡΝΗΣ"
21050,6,"ΚΑΒΑΛΑΣ ΠΑΛΑΙΑΣ ΚΑΒΑΛΑΣ"
41111,338,"ΡΕΘΥΜΝΗΣ ΡΕΘΥΜΝΗΣ"
41028,13,"ΡΕΘΥΜΝΗΣ ΑΡΜΕΝΩΝ"
41026,11,"ΡΕΘΥΜΝΗΣ ΑΡΓΥΡΟΥΠΟΛΕΩΣ"
20139,35,"ΙΩΑΝΝΙΝΩΝ ΚΑΤΣΙΚΑ"
50134,24,"ΧΑΝΙΩΝ ΣΟΥΔΑΣ"
29042,28,"ΚΥΚΛΑΔΩΝ ΕΜΠΟΡΕΙΟΥ"
29085,123,"ΚΥΚΛΑΔΩΝ ΜΥΚΟΝΙΩΝ"
19073,3,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΜΟΔΙΟΥ"
35014,27,"ΜΑΓΝΗΣΙΑΣ ΑΛΟΝΝΗΣΟΥ"
05054,405,"ΑΤΤΙΚΗΣ ΗΛΙΟΥΠΟΛΕΩΣ"
19117,78,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΤΡΙΑΝΔΡΙΑΣ"
05048,58,"ΑΤΤΙΚΗΣ ΕΚΑΛΗΣ"
