01003,327,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ"
01011,98,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΓΙΟΥ ΗΛΙΑ"
01021,278,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΙΤΩΛΙΚΟΥ"
01058,191,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΓΟΥΡΙΑΣ"
01072,45,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΕΛΛΗΝΙΚΩΝ"
01120,120,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΛΥΣΙΜΑΧΕΙΑΣ"
01125,72,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΜΑΣΤΡΟΥ"
01131,120,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ"
01142,486,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΝΕΟΧΩΡΙΟΥ (ΜΕΣΟΛΟΓΓΙΟΥ)"
01195,363,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΣΤΑΜΝΑΣ"
01212,33,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΧΡΥΣΟΒΕΡΓΙΟΥ"
02001,11,"ΑΡΓΟΛΙΔΑΣ ΑΓΙΟΥ ΑΔΡΙΑΝΟΥ"
02007,3,"ΑΡΓΟΛΙΔΑΣ ΑΝΥΦΙΟΥ"
02009,151,"ΑΡΓΟΛΙΔΑΣ ΑΡΓΟΥΣ"
02012,1,"ΑΡΓΟΛΙΔΑΣ ΑΣΙΝΗΣ"
02017,2,"ΑΡΓΟΛΙΔΑΣ ΔΑΛΑΜΑΝΑΡΑΣ"
02020,9,"ΑΡΓΟΛΙΔΑΣ ΔΡΕΠΑΝΟΥ"
02021,17,"ΑΡΓΟΛΙΔΑΣ ΕΛΛΗΝΙΚΟΥ"
02025,1,"ΑΡΓΟΛΙΔΑΣ ΗΡΑΣ"
02027,1,"ΑΡΓΟΛΙΔΑΣ ΙΝΑΧΟΥ"
02032,25,"ΑΡΓΟΛΙΔΑΣ ΚΕΦΑΛΑΡΙΟΥ"
02034,41,"ΑΡΓΟΛΙΔΑΣ ΚΙΒΕΡΙΟΥ"
02036,3,"ΑΡΓΟΛΙΔΑΣ ΚΟΥΡΤΑΚΙΟΥ"
02037,152,"ΑΡΓΟΛΙΔΑΣ ΚΟΥΤΣΟΠΟΔΙΟΥ"
02039,1,"ΑΡΓΟΛΙΔΑΣ ΛΑΛΟΥΚΑ"
02044,31,"ΑΡΓΟΛΙΔΑΣ ΜΙΔΕΑΣ"
02048,33,"ΑΡΓΟΛΙΔΑΣ ΜΥΛΩΝ"
02049,33,"ΑΡΓΟΛΙΔΑΣ ΝΑΥΠΛΙΕΩΝ"
02051,39,"ΑΡΓΟΛΙΔΑΣ ΝΕΑΣ ΚΙΟΥ"
02052,9,"ΑΡΓΟΛΙΔΑΣ ΝΕΑΣ ΤΙΡΥΝΘΟΣ"
02054,5,"ΑΡΓΟΛΙΔΑΣ ΝΕΟΥ ΡΟΕΙΝΟΥ"
02059,2,"ΑΡΓΟΛΙΔΑΣ ΠΥΡΓΙΩΤΙΚΩΝ"
02060,45,"ΑΡΓΟΛΙΔΑΣ ΣΚΑΦΙΔΑΚΙΟΥ"
03008,5,"ΑΡΚΑΔΙΑΣ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ"
03027,275,"ΑΡΚΑΔΙΑΣ ΑΣΤΡΟΥΣ"
03054,503,"ΑΡΚΑΔΙΑΣ ΔΟΛΙΑΝΩΝ"
03144,1,"ΑΡΚΑΔΙΑΣ ΜΕΡΚΟΒΟΥΝΙΟΥ"
03157,45,"ΑΡΚΑΔΙΑΣ ΞΗΡΟΠΗΓΑΔΟΥ"
03169,21,"ΑΡΚΑΔΙΑΣ ΠΑΡΑΛΙΟΥ ΑΣΤΡΟΥΣ"
03210,6,"ΑΡΚΑΔΙΑΣ ΣΚΟΠΗΣ"
03225,81,"ΑΡΚΑΔΙΑΣ ΤΡΙΠΟΛΕΩΣ"
04010,101,"ΑΡΤΑΣ ΑΡΤΑΙΩΝ"
04014,48,"ΑΡΤΑΣ ΒΛΑΧΕΡΝΗΣ"
04029,108,"ΑΡΤΑΣ ΚΑΜΠΗΣ"
04060,8,"ΑΡΤΑΣ ΠΑΝΤΑΝΑΣΗΣ (ΠΑΝΤΑΝΑΣΣΗΣ)"
04063,219,"ΑΡΤΑΣ ΠΕΤΑ"
04080,179,"ΑΡΤΑΣ ΦΙΛΟΘΕΗΣ"
05001,9,"ΑΤΤΙΚΗΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ"
05002,107,"ΑΤΤΙΚΗΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ"
05003,47,"ΑΤΤΙΚΗΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ"
05004,60,"ΑΤΤΙΚΗΣ ΑΓΙΟΥ ΙΩΑΝΝΟΥ ΡΕΝΤΗ"
05006,115,"ΑΤΤΙΚΗΣ ΑΓΙΟΥ ΣΤΕΦΑΝΟΥ"
05007,11,"ΑΤΤΙΚΗΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ"
05010,5,"ΑΤΤΙΚΗΣ ΑΙΑΝΤΕΙΟΥ"
05011,83,"ΑΤΤΙΚΗΣ ΑΙΓΑΛΕΩ"
05013,96,"ΑΤΤΙΚΗΣ ΑΛΙΜΟΥ"
05014,3313,"ΑΤΤΙΚΗΣ ΑΜΑΡΟΥΣΙΟΥ"
05018,15,"ΑΤΤΙΚΗΣ ΑΝΟΙΞΕΩΣ"
05020,24,"ΑΤΤΙΚΗΣ ΑΝΩ ΛΙΟΣΙΩΝ"
05022,26,"ΑΤΤΙΚΗΣ ΑΡΓΥΡΟΥΠΟΛΕΩΣ"
05023,3,"ΑΤΤΙΚΗΣ ΑΡΤΕΜΙΔΟΣ (ΛΟΥΤΣΑ)"
05025,64,"ΑΤΤΙΚΗΣ ΑΣΠΡΟΠΥΡΓΟΥ"
05028,40,"ΑΤΤΙΚΗΣ ΑΧΑΡΝΩΝ"
05030,13,"ΑΤΤΙΚΗΣ ΒΑΡΗΣ"
05033,51,"ΑΤΤΙΚΗΣ ΒΟΥΛΑΣ"
05034,2,"ΑΤΤΙΚΗΣ ΒΟΥΛΙΑΓΜΕΝΗΣ"
05035,142,"ΑΤΤΙΚΗΣ ΒΡΙΛΗΣΙΩΝ"
05036,42,"ΑΤΤΙΚΗΣ ΒΥΡΩΝΟΣ"
05038,12,"ΑΤΤΙΚΗΣ ΓΑΛΑΤΣΙΟΥ"
05039,37,"ΑΤΤΙΚΗΣ ΓΕΡΑΚΑ"
05040,15,"ΑΤΤΙΚΗΣ ΓΛΥΚΩΝ ΝΕΡΩΝ"
05041,280,"ΑΤΤΙΚΗΣ ΓΛΥΦΑΔΑΣ"
05043,101,"ΑΤΤΙΚΗΣ ΔΑΦΝΗΣ"
05044,1,"ΑΤΤΙΚΗΣ ΔΙΟΝΥΣΟΥ"
05045,10,"ΑΤΤΙΚΗΣ ΔΡΑΠΕΤΣΩΝΑΣ"
05048,3,"ΑΤΤΙΚΗΣ ΕΚΑΛΗΣ"
05049,20,"ΑΤΤΙΚΗΣ ΕΛΕΥΣΙΝΟΣ"
05050,52,"ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΟΥ"
05053,21,"ΑΤΤΙΚΗΣ ΖΩΓΡΑΦΟΥ"
05054,47,"ΑΤΤΙΚΗΣ ΗΛΙΟΥΠΟΛΕΩΣ"
05055,81,"ΑΤΤΙΚΗΣ ΗΡΑΚΛΕΙΟΥ"
05057,57,"ΑΤΤΙΚΗΣ ΙΛΙΟΥ"
05058,34,"ΑΤΤΙΚΗΣ ΚΑΙΣΑΡΙΑΝΗΣ"
05062,8,"ΑΤΤΙΚΗΣ ΚΑΜΑΤΕΡΟΥ"
05068,24,"ΑΤΤΙΚΗΣ ΚΕΡΑΤΣΙΝΙΟΥ"
05069,124,"ΑΤΤΙΚΗΣ ΚΗΦΙΣΙΑΣ"
05071,15,"ΑΤΤΙΚΗΣ ΚΟΡΥΔΑΛΛΟΥ"
05074,19,"ΑΤΤΙΚΗΣ ΚΡΥΟΝΕΡΙΟΥ"
05075,102,"ΑΤΤΙΚΗΣ ΚΡΩΠΙΑΣ"
05083,7,"ΑΤΤΙΚΗΣ ΛΥΚΟΒΡΥΣΕΩΣ"
05084,10,"ΑΤΤΙΚΗΣ ΜΑΓΟΥΛΑΣ"
05086,26,"ΑΤΤΙΚΗΣ ΜΑΝΔΡΑΣ"
05087,48,"ΑΤΤΙΚΗΣ ΜΑΡΑΘΩΝΟΣ"
05088,47,"ΑΤΤΙΚΗΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ"
05092,70,"ΑΤΤΙΚΗΣ ΜΕΛΙΣΣΙΩΝ"
05094,122,"ΑΤΤΙΚΗΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ"
05096,108,"ΑΤΤΙΚΗΣ ΜΟΣΧΑΤΟΥ"
05099,4,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ"
05100,91,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΙΩΝΙΑΣ"
05101,8,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΜΑΚΡΗΣ"
05102,1,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΠΕΝΤΕΛΗΣ"
05103,1,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΠΕΡΑΜΟΥ"
05104,145,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΣΜΥΡΝΗΣ"
05105,23,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ"
05106,46,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ"
05107,101,"ΑΤΤΙΚΗΣ ΝΕΟΥ ΨΥΧΙΚΟΥ"
05109,19,"ΑΤΤΙΚΗΣ ΝΙΚΑΙΑΣ"
05111,43,"ΑΤΤΙΚΗΣ ΠΑΙΑΝΙΑΣ"
05114,59,"ΑΤΤΙΚΗΣ ΠΑΛΛΗΝΗΣ"
05116,598,"ΑΤΤΙΚΗΣ ΠΕΙΡΑΙΩΣ"
05117,2,"ΑΤΤΙΚΗΣ ΠΕΝΤΕΛΗΣ"
05118,10,"ΑΤΤΙΚΗΣ ΠΕΡΑΜΑΤΟΣ"
05120,251,"ΑΤΤΙΚΗΣ ΠΕΡΙΣΤΕΡΙΟΥ"
05121,4,"ΑΤΤΙΚΗΣ ΠΕΤΡΟΥΠΟΛΕΩΣ"
05123,12,"ΑΤΤΙΚΗΣ ΠΙΚΕΡΜΙΟΥ"
05127,6,"ΑΤΤΙΚΗΣ ΡΑΦΗΝΑΣ"
05128,1,"ΑΤΤΙΚΗΣ ΡΟΔΟΠΟΛΕΩΣ (ΜΠΑΛΑΣ)"
05129,11,"ΑΤΤΙΚΗΣ ΣΑΛΑΜΙΝΟΣ"
05133,20,"ΑΤΤΙΚΗΣ ΣΠΑΤΩΝ-ΛΟΥΤΣΑΣ"
05135,1,"ΑΤΤΙΚΗΣ ΣΤΑΜΑΤΑΣ"
05138,42,"ΑΤΤΙΚΗΣ ΤΑΥΡΟΥ"
05141,11,"ΑΤΤΙΚΗΣ ΥΜΗΤΤΟΥ"
05142,3,"ΑΤΤΙΚΗΣ ΦΙΛΟΘΕΗΣ"
05146,32,"ΑΤΤΙΚΗΣ ΧΑΪΔΑΡΙΟΥ"
05147,477,"ΑΤΤΙΚΗΣ ΧΑΛΑΝΔΡΙΟΥ"
05148,28,"ΑΤΤΙΚΗΣ ΧΟΛΑΡΓΟΥ"
05149,8,"ΑΤΤΙΚΗΣ ΨΥΧΙΚΟΥ"
06167,164,"ΑΧΑΙΑΣ ΠΑΤΡΕΩΝ"
07036,87,"ΒΟΙΩΤΙΑΣ ΚΑΣΤΡΟΥ"
07046,17,"ΒΟΙΩΤΙΑΣ ΛΟΥΤΣΙΟΥ"
07055,68,"ΒΟΙΩΤΙΑΣ ΟΡΧΟΜΕΝΟΥ"
07057,37,"ΒΟΙΩΤΙΑΣ ΠΑΥΛΟΥ"
08010,153,"ΓΡΕΒΕΝΩΝ ΓΡΕΒΕΝΩΝ"
08023,158,"ΓΡΕΒΕΝΩΝ ΚΑΡΠΕΡΟΥ"
08069,47,"ΓΡΕΒΕΝΩΝ ΦΕΛΛΙΟΥ"
09002,180,"ΔΡΑΜΑΣ ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ"
09014,59,"ΔΡΑΜΑΣ ΔΡΑΜΑΣ"
09016,132,"ΔΡΑΜΑΣ ΚΑΛΑΜΠΑΚΙΟΥ"
09017,69,"ΔΡΑΜΑΣ ΚΑΛΑΜΩΝΟΣ"
09025,42,"ΔΡΑΜΑΣ ΚΕΦΑΛΑΡΙΟΥ"
09030,167,"ΔΡΑΜΑΣ Μ. ΑΛΕΞΑΝΔΡΟΥ"
10060,17,"ΔΩΔΕΚΑΝΗΣΟΥ ΠΑΤΜΟΥ"
10071,10,"ΔΩΔΕΚΑΝΗΣΟΥ ΣΥΜΗΣ"
11003,96,"ΕΒΡΟΥ ΑΛΕΞΑΝΔΡΟΥΠΟΛΕΩΣ"
11007,70,"ΕΒΡΟΥ ΑΝΘΕΙΑΣ"
11039,170,"ΕΒΡΟΥ ΛΟΥΤΡΟΥ"
12012,8,"ΕΥΒΟΙΑΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ"
12035,47,"ΕΥΒΟΙΑΣ ΒΑΣΙΛΙΚΟΥ"
12054,20,"ΕΥΒΟΙΑΣ ΔΡΟΣΙΑΣ"
12116,10,"ΕΥΒΟΙΑΣ ΜΥΤΙΚΑ"
12162,68,"ΕΥΒΟΙΑΣ ΧΑΛΚΙΔΕΩΝ"
13011,3,"ΕΥΡΥΤΑΝΙΑΣ ΑΝΙΑΔΑΣ"
13031,26,"ΕΥΡΥΤΑΝΙΑΣ ΚΑΡΠΕΝΗΣΙΟΥ"
13036,1,"ΕΥΡΥΤΑΝΙΑΣ ΚΛΑΥΣΙΟΥ"
13038,6,"ΕΥΡΥΤΑΝΙΑΣ ΚΟΡΥΣΧΑΔΩΝ (ΚΥΨΕΛΗΣ)"
13046,3,"ΕΥΡΥΤΑΝΙΑΣ ΜΕΓΑΛΟΥ ΧΩΡΙΟΥ"
13050,2,"ΕΥΡΥΤΑΝΙΑΣ ΜΟΥΖΙΛΟΥ"
14012,9,"ΖΑΚΥΝΘΟΥ ΑΡΓΑΣΙΟΥ"
14014,37,"ΖΑΚΥΝΘΟΥ ΒΑΣΙΛΙΚΟΥ"
14021,7,"ΖΑΚΥΝΘΟΥ ΖΑΚΥΝΘΙΩΝ"
14022,15,"ΖΑΚΥΝΘΟΥ ΚΑΛΑΜΑΚΙΟΥ"
