12028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΕΥΒΟΙΑΣ ΑΣΜΗΝΙΟΥ"
13028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΕΥΡΥΤΑΝΙΑΣ ΕΣΩΧΩΡΙΩΝ"
14028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΖΑΚΥΝΘΟΥ ΚΟΙΛΙΩΜΕΝΟΥ (ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ)"
16028,ΑΝΑΡΤΗΣΗ,"ΗΜΑΘΙΑΣ ΛΕΥΚΑΔΙΩΝ"
18028,"ΕΚΤΟΣ ΚΤΗΜΑΤΟΓΡΑΦΗΣΗΣ","ΘΕΣΠΡΩΤΙΑΣ ΚΑΛΛΙΘΕΑΣ (ΦΙΛΙΑΤΩΝ)"
21028,ΛΕΙΤΟΥΡΓΙΑ,"ΚΑΒΑΛΑΣ ΚΕΧΡΟΚΑΜΠΟΥ"
22028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΚΑΡΔΙΤΣΑΣ ΒΛΑΣΙΟΥ"
24028,"ΕΚΤΟΣ ΚΤΗΜΑΤΟΓΡΑΦΗΣΗΣ","ΚΕΡΚΥΡΑΣ ΒΙΡΟΥ"
26028,ΑΝΑΡΤΗΣΗ,"ΚΙΛΚΙΣ ΙΣΩΜΑΤΟΣ"
27028,ΑΝΑΡΤΗΣΗ,"ΚΟΖΑΝΗΣ ΓΑΛΑΤΙΝΗΣ"
29028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΚΥΚΛΑΔΩΝ ΒΟΥΡΒΟΥΛΟΥ"
30028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΛΑΚΩΝΙΑΣ ΑΡΝΗΣ"
32028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΛΑΣΙΘΙΟΥ ΚΑΛΑΜΑΥΚΑΣ"
34028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΛΕΥΚΑΔΑΣ ΜΕΓΑΝΗΣΙΟΥ"
35028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΜΑΓΝΗΣΙΑΣ ΓΛΩΣΣΗΣ"
36028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΜΕΣΣΗΝΙΑΣ ΑΝΕΜΟΜΥΛΟΥ"
37028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΞΑΝΘΗΣ ΠΑΣΧΑΛΙΑΣ"
39028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΠΙΕΡΙΑΣ ΛΙΤΟΧΩΡΟΥ"
40028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΠΡΕΒΕΖΑΣ ΚΥΨΕΛΗΣ"
41028,ΛΕΙΤΟΥΡΓΙΑ,"ΡΕΘΥΜΝΗΣ ΑΡΜΕΝΩΝ"
42028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΡΟΔΟΠΗΣ ΟΡΓΑΝΗΣ"
43028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΣΑΜΟΥ ΜΕΣΟΓΕΙΟΥ"
44028,ΑΝΑΡΤΗΣΗ,"ΣΕΡΡΩΝ ΒΑΜΒΑΚΟΥΣΣΗΣ"
45028,ΑΝΑΡΤΗΣΗ,"ΤΡΙΚΑΛΩΝ ΓΛΥΚΟΜΗΛΕΑΣ"
48028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΦΩΚΙΔΑΣ ΕΠΤΑΛΟΦΟΥ"
50028,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΧΑΝΙΩΝ ΒΡΥΣΩΝ (ΑΠΟΚΟΡΩΝΟΥ)"
01029,"ΣΥΛΛΟΓΗ ΔΗΛΩΣΕΩΝ","ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΝΑΒΡΥΤΗΣ"
