01003,365,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ"
01011,60,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΓΙΟΥ ΗΛΙΑ"
01021,895,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΙΤΩΛΙΚΟΥ"
01058,404,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΓΟΥΡΙΑΣ"
01072,65,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΕΛΛΗΝΙΚΩΝ"
01120,113,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΛΥΣΙΜΑΧΕΙΑΣ"
01125,196,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΜΑΣΤΡΟΥ"
01131,3159,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ"
01142,1236,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΝΕΟΧΩΡΙΟΥ (ΜΕΣΟΛΟΓΓΙΟΥ)"
01195,309,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΣΤΑΜΝΑΣ"
01212,70,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΧΡΥΣΟΒΕΡΓΙΟΥ"
02001,290,"ΑΡΓΟΛΙΔΑΣ ΑΓΙΟΥ ΑΔΡΙΑΝΟΥ"
02007,112,"ΑΡΓΟΛΙΔΑΣ ΑΝΥΦΙΟΥ"
02009,3686,"ΑΡΓΟΛΙΔΑΣ ΑΡΓΟΥΣ"
02012,312,"ΑΡΓΟΛΙΔΑΣ ΑΣΙΝΗΣ"
02017,215,"ΑΡΓΟΛΙΔΑΣ ΔΑΛΑΜΑΝΑΡΑΣ"
02020,342,"ΑΡΓΟΛΙΔΑΣ ΔΡΕΠΑΝΟΥ"
02021,72,"ΑΡΓΟΛΙΔΑΣ ΕΛΛΗΝΙΚΟΥ"
02024,20,"ΑΡΓΟΛΙΔΑΣ ΗΡΑΙΟΥ"
02025,50,"ΑΡΓΟΛΙΔΑΣ ΗΡΑΣ"
02027,93,"ΑΡΓΟΛΙΔΑΣ ΙΝΑΧΟΥ"
02032,167,"ΑΡΓΟΛΙΔΑΣ ΚΕΦΑΛΑΡΙΟΥ"
02034,262,"ΑΡΓΟΛΙΔΑΣ ΚΙΒΕΡΙΟΥ"
02036,26,"ΑΡΓΟΛΙΔΑΣ ΚΟΥΡΤΑΚΙΟΥ"
02037,531,"ΑΡΓΟΛΙΔΑΣ ΚΟΥΤΣΟΠΟΔΙΟΥ"
02039,50,"ΑΡΓΟΛΙΔΑΣ ΛΑΛΟΥΚΑ"
02040,240,"ΑΡΓΟΛΙΔΑΣ ΛΕΥΚΑΚΙΩΝ"
02044,659,"ΑΡΓΟΛΙΔΑΣ ΜΙΔΕΑΣ"
02048,203,"ΑΡΓΟΛΙΔΑΣ ΜΥΛΩΝ"
02049,3507,"ΑΡΓΟΛΙΔΑΣ ΝΑΥΠΛΙΕΩΝ"
